AirportId,AirportName,LatD,LatM,LatS,LongD,LongM,LongS
ADK,"ADAK",51,53,00.8954,-176,38,32.9277
AKK,"AKHIOK",56,56,19.2870,-154,10,57.2000
Z13,"AKIACHAK",60,54,49.7150,-161,29,35.9850
KKI,"AKIACHAK",60,54,28.3130,-161,26,06.2780
AKI,"AKIAK",60,54,10.4300,-161,13,50.1000
KQA,"AKUTAN",54,08,02.0400,-165,46,42.1800
7AK,"AKUTAN",54,08,40.6000,-165,36,14.7900
AUK,"ALAKANUK",62,40,59.0000,-164,43,19.9000
Z25,"TRIPOD",59,15,47.3250,-158,33,27.9190
Z33,"ALEKNAGIK",59,16,26.3210,-158,37,24.9210
5A8,"ALEKNAGIK /NEW",59,16,57.2000,-158,37,04.3200
4AK7,"ALEKNAGIK MISSION STRIP",59,16,51.3240,-158,35,49.9210
6A8,"ALLAKAKET",66,33,06.6000,-152,37,19.8000
AFM,"AMBLER",67,06,22.3282,-157,51,25.8151
80A,"AMERICAN CREEK",65,06,14.3350,-151,10,38.0400
AK81,"AMOOK BAY",57,28,17.3770,-153,48,55.2980
AKP,"ANAKTUVUK PASS",68,08,01.0000,-151,44,36.0000
CSR,"CAMPBELL AIRSTRIP",61,09,31.3200,-149,46,50.2000
AK38,"PROVIDENCE HOSPITAL",61,11,20.5100,-149,49,18.5900
AA06,"SIXMILE LAKE",61,17,23.0000,-149,48,22.0000
AA04,"VIKING",61,13,29.1900,-149,50,20.7400
2OK,"ALASKA RGNL HOSPITAL",61,12,45.7300,-149,49,35.7000
AK36,"POINT MAC",61,26,09.6700,-150,07,20.5000
AK82,"CAMPBELL BLM",61,09,22.0700,-149,47,32.2800
64AK,"CARPENTIERS STRIP",61,26,23.6800,-150,01,33.9600
99AA,"ANCHORAGE LOFTS HOTEL HELIPORT",61,13,08.0600,-149,53,11.3300
AK12,"FLYING CROWN",61,06,23.7600,-149,51,51.3700
A13,"BOLD",61,20,28.8200,-148,59,55.9700
AK37,"POINT MACKENZIE",61,14,58.0250,-150,02,08.0180
ANC,"TED STEVENS ANCHORAGE INTL",61,10,26.9634,-149,59,53.4791
MRI,"MERRILL FIELD",61,12,48.7622,-149,50,41.0069
3C3,"CAMPBELL LAKE SPB",61,07,59.0200,-149,56,30.8400
EDF,"ELMENDORF AFB",61,15,04.8715,-149,48,23.4924
AK91,"ELMENDORF HOSPITAL",61,14,07.3800,-149,44,57.3900
6AK5,"FIRE ISLAND",61,10,06.0140,-150,09,37.9930
9AK5,"SKY HARBOR",61,06,59.3300,-149,49,07.5700
FRN,"BRYANT AAF",61,15,57.2375,-149,39,11.9075
LHD,"LAKE HOOD",61,10,53.9000,-149,57,59.4000
2AK0,"MAC KENZIE COUNTRY AIRPARK",61,15,21.1700,-149,58,28.7600
0AK9,"FALCON LAKE STRIP",61,19,57.1800,-150,03,32.5900
AK00,"ANCHOR RIVER AIRPARK",59,47,48.0000,-151,51,48.0000
00AK,"LOWELL FIELD",59,56,56.0000,-151,41,32.0000
AGN,"ANGOON",57,30,12.7990,-134,35,06.3380
ANI,"ANIAK",61,34,53.7000,-159,32,35.0000
ANN,"ANNETTE ISLAND",55,02,32.2569,-131,34,15.2377
